Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
17,Sorted,Heap,79,1.929e-06
17,Sorted,Bubble,16,3.95e-07
17,Sorted,Selection,136,1.206e-06
17,Sorted,Insertion,16,5.24e-07
17,Inversely-sorted,Heap,95,2.548e-06
17,Inversely-sorted,Bubble,136,2.962e-06
17,Inversely-sorted,Selection,136,1.49e-06
17,Inversely-sorted,Insertion,136,2.689e-06
18,Random,Heap,97,2.8592e-05
18,Random,Bubble,150,3.043e-06
18,Random,Selection,153,1.876e-06
18,Random,Insertion,100,1.844e-06
18,Sorted,Heap,87,2.175e-06
18,Sorted,Bubble,17,3.55e-07
18,Sorted,Selection,153,1.314e-06
18,Sorted,Insertion,17,4.07e-07
18,Inversely-sorted,Heap,103,2.512e-06
18,Inversely-sorted,Bubble,153,3.251e-06
18,Inversely-sorted,Selection,153,2.028e-06
18,Inversely-sorted,Insertion,153,3.06e-06
19,Random,Heap,113,2.915e-06
19,Random,Bubble,171,2.987e-06
19,Random,Selection,171,1.605e-06
19,Random,Insertion,113,1.665e-06
19,Sorted,Heap,99,1.732e-06
19,Sorted,Bubble,18,2.45e-07
19,Sorted,Selection,171,1.133e-06
19,Sorted,Insertion,18,2.73e-07
19,Inversely-sorted,Heap,113,2.12e-06
19,Inversely-sorted,Bubble,171,2.31e-06
19,Inversely-sorted,Selection,171,2.075e-06
19,Inversely-sorted,Insertion,171,3.601e-06
20,Random,Heap,118,3.161e-06
20,Random,Bubble,189,3.868e-06
20,Random,Selection,190,2.179e-06
20,Random,Insertion,125,2.675e-06
20,Sorted,Heap,105,2.586e-06
20,Sorted,Bubble,19,4.31e-07
20,Sorted,Selection,190,1.577e-06
20,Sorted,Insertion,19,5.11e-07
20,Inversely-sorted,Heap,121,2.518e-06
20,Inversely-sorted,Bubble,190,3.637e-06
20,Inversely-sorted,Selection,190,1.764e-06
20,Inversely-sorted,Insertion,190,3.111e-06
21,Random,Heap,129,2.963e-06
21,Random,Bubble,200,3.223e-06
21,Random,Selection,210,2.084e-06
21,Random,Insertion,110,2.342e-06
21,Sorted,Heap,111,2.422e-06
21,Sorted,Bubble,20,6.39e-07
21,Sorted,Selection,210,1.61e-06
21,Sorted,Insertion,20,4.61e-07
21,Inversely-sorted,Heap,131,2.962e-06
21,Inversely-sorted,Bubble,210,4.185e-06
21,Inversely-sorted,Selection,210,1.984e-06
21,Inversely-sorted,Insertion,210,3.234e-06
22,Random,Heap,133,2.356e-06
22,Random,Bubble,186,2.378e-06
22,Random,Selection,231,1.871e-06
22,Random,Insertion,107,1.55e-06
22,Sorted,Heap,120,1.841e-06
22,Sorted,Bubble,21,2.43e-07
22,Sorted,Selection,231,1.232e-06
22,Sorted,Insertion,21,2.64e-07
22,Inversely-sorted,Heap,139,3.878e-06
22,Inversely-sorted,Bubble,231,4.311e-06
22,Inversely-sorted,Selection,231,1.883e-06
22,Inversely-sorted,Insertion,231,2.974e-06
23,Random,Heap,144,2.595e-06
23,Random,Bubble,247,2.862e-06
23,Random,Selection,253,2.028e-06
23,Random,Insertion,156,1.997e-06
23,Sorted,Heap,130,2.125e-06
23,Sorted,Bubble,22,3.17e-07
23,Sorted,Selection,253,2.051e-06
23,Sorted,Insertion,22,4.72e-07
23,Inversely-sorted,Heap,149,3.506e-06
23,Inversely-sorted,Bubble,253,4.956e-06
23,Inversely-sorted,Selection,253,2.3e-06
23,Inversely-sorted,Insertion,253,4.921e-06
24,Random,Heap,148,3.453e-06
24,Random,Bubble,255,4.512e-06
24,Random,Selection,276,2.496e-06
24,Random,Insertion,167,2.89e-06
24,Sorted,Heap,137,2.948e-06
24,Sorted,Bubble,23,4.03e-07
24,Sorted,Selection,276,1.859e-06
24,Sorted,Insertion,23,4.38e-07
24,Inversely-sorted,Heap,157,3.414e-06
24,Inversely-sorted,Bubble,276,5.083e-06
24,Inversely-sorted,Selection,276,2.199e-06
24,Inversely-sorted,Insertion,276,4.976e-06
25,Random,Heap,162,3.545e-06
25,Random,Bubble,290,4.6e-06
25,Random,Selection,300,2.17e-06
25,Random,Insertion,162,2.024e-06
25,Sorted,Heap,143,2.239e-06
25,Sorted,Bubble,24,2.5e-07
25,Sorted,Selection,300,1.524e-06
25,Sorted,Insertion,24,2.79e-07
25,Inversely-sorted,Heap,167,3.645e-06
25,Inversely-sorted,Bubble,300,5.761e-06
25,Inversely-sorted,Selection,300,2.472e-06
25,Inversely-sorted,Insertion,300,5.707e-06
26,Random,Heap,166,3.878e-06
26,Random,Bubble,310,5.028e-06
26,Random,Selection,325,2.971e-06
26,Random,Insertion,174,3.417e-06
26,Sorted,Heap,150,3.167e-06
26,Sorted,Bubble,25,4.42e-07
26,Sorted,Selection,325,2.009e-06
26,Sorted,Insertion,25,4.72e-07
26,Inversely-sorted,Heap,175,3.677e-06
26,Inversely-sorted,Bubble,325,6.063e-06
26,Inversely-sorted,Selection,325,2.483e-06
26,Inversely-sorted,Insertion,325,5.997e-06
27,Random,Heap,170,3.748e-06
27,Random,Bubble,306,4.644e-06
27,Random,Selection,351,2.545e-06
27,Random,Insertion,162,2.782e-06
27,Sorted,Heap,161,3.475e-06
27,Sorted,Bubble,26,4.62e-07
27,Sorted,Selection,351,2.255e-06
27,Sorted,Insertion,26,5.02e-07
27,Inversely-sorted,Heap,185,4.04e-06
27,Inversely-sorted,Bubble,351,6.446e-06
27,Inversely-sorted,Selection,351,2.429e-06
27,Inversely-sorted,Insertion,351,6.626e-06
28,Random,Heap,191,4.278e-06
28,Random,Bubble,368,5.598e-06
28,Random,Selection,378,2.994e-06
28,Random,Insertion,248,3.858e-06
28,Sorted,Heap,171,3.173e-06
28,Sorted,Bubble,27,3.89e-07
28,Sorted,Selection,378,2.091e-06
28,Sorted,Insertion,27,4.34e-07
28,Inversely-sorted,Heap,193,3.78e-06
28,Inversely-sorted,Bubble,378,6.05e-06
28,Inversely-sorted,Selection,378,2.348e-06
28,Inversely-sorted,Insertion,378,5.647e-06
29,Random,Heap,195,3.965e-06
29,Random,Bubble,385,5.379e-06
29,Random,Selection,406,3.531e-06
29,Random,Insertion,241,3.516e-06
29,Sorted,Heap,176,2.6307e-05
29,Sorted,Bubble,28,3.44e-07
29,Sorted,Selection,406,2.208e-06
29,Sorted,Insertion,28,4.62e-07
29,Inversely-sorted,Heap,203,3.842e-06
29,Inversely-sorted,Bubble,406,5.608e-06
29,Inversely-sorted,Selection,406,2.302e-06
29,Inversely-sorted,Insertion,406,6.916e-06
30,Random,Heap,198,4.266e-06
30,Random,Bubble,429,6.051e-06
30,Random,Selection,435,5.574e-06
30,Random,Insertion,238,4.273e-06
30,Sorted,Heap,188,3.706e-06
30,Sorted,Bubble,29,3.95e-07
30,Sorted,Selection,435,2.393e-06
30,Sorted,Insertion,29,4.97e-07
30,Inversely-sorted,Heap,211,4.56e-06
30,Inversely-sorted,Bubble,435,8.193e-06
30,Inversely-sorted,Selection,435,2.986e-06
30,Inversely-sorted,Insertion,435,8.028e-06
