Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
2,Sorted,Insertion,1,1.2e-07
2,Inversely-sorted,Heap,1,1.68e-07
2,Inversely-sorted,Bubble,1,9.2e-08
2,Inversely-sorted,Selection,1,1.24e-07
2,Inversely-sorted,Insertion,1,1.3e-07
2,Random,Heap,1,7.4e-08
2,Random,Bubble,1,1.18e-07
2,Random,Selection,1,1.08e-07
2,Random,Insertion,1,7.1e-08
2,Sorted,Heap,1,1.55e-07
2,Sorted,Bubble,1,1.75e-07
2,Sorted,Selection,1,2.28e-07
2,Sorted,Insertion,1,1.6e-07
2,Inversely-sorted,Heap,1,1.73e-07
2,Inversely-sorted,Bubble,1,1.57e-07
2,Inversely-sorted,Selection,1,1.49e-07
2,Inversely-sorted,Insertion,1,1.42e-07
2,Random,Heap,1,1.21e-07
2,Random,Bubble,1,1.51e-07
2,Random,Selection,1,2.71e-07
2,Random,Insertion,1,2.21e-07
2,Sorted,Heap,1,1.44e-07
2,Sorted,Bubble,1,1.15e-07
2,Sorted,Selection,1,1.53e-07
2,Sorted,Insertion,1,1.07e-07
2,Inversely-sorted,Heap,1,1.22e-07
2,Inversely-sorted,Bubble,1,1.16e-07
2,Inversely-sorted,Selection,1,1.01e-07
2,Inversely-sorted,Insertion,1,1.13e-07
2,Random,Heap,1,8.3e-08
2,Random,Bubble,1,7.5e-08
2,Random,Selection,1,8.2e-08
2,Random,Insertion,1,1.96e-07
2,Sorted,Heap,1,1.16e-07
2,Sorted,Bubble,1,1.07e-07
2,Sorted,Selection,1,1.77e-07
2,Sorted,Insertion,1,1.56e-07
2,Inversely-sorted,Heap,1,1.7e-07
2,Inversely-sorted,Bubble,1,1.2e-07
2,Inversely-sorted,Selection,1,1.53e-07
2,Inversely-sorted,Insertion,1,1.45e-07
2,Random,Heap,1,9.8e-08
2,Random,Bubble,1,9.9e-08
2,Random,Selection,1,1.49e-07
2,Random,Insertion,1,1.1e-07
2,Sorted,Heap,1,9e-08
2,Sorted,Bubble,1,7.7e-08
2,Sorted,Selection,1,1.42e-07
2,Sorted,Insertion,1,8.6e-08
2,Inversely-sorted,Heap,1,1.3e-07
2,Inversely-sorted,Bubble,1,1.16e-07
2,Inversely-sorted,Selection,1,1.34e-07
2,Inversely-sorted,Insertion,1,9.4e-08
2,Random,Heap,1,5.5e-08
2,Random,Bubble,1,6e-08
2,Random,Selection,1,7e-08
2,Random,Insertion,1,5.5e-08
2,Sorted,Heap,1,6.6e-08
2,Sorted,Bubble,1,6.6e-08
2,Sorted,Selection,1,6.1e-08
2,Sorted,Insertion,1,1.76e-07
2,Inversely-sorted,Heap,1,1.96e-07
2,Inversely-sorted,Bubble,1,3.06e-07
2,Inversely-sorted,Selection,1,2.19e-07
2,Inversely-sorted,Insertion,1,1.56e-07
2,Random,Heap,1,1.23e-07
2,Random,Bubble,1,8e-08
2,Random,Selection,1,8.1e-08
2,Random,Insertion,1,9e-08
2,Sorted,Heap,1,7.8e-08
2,Sorted,Bubble,1,8.2e-08
2,Sorted,Selection,1,6.3e-08
2,Sorted,Insertion,1,2.77e-07
2,Inversely-sorted,Heap,1,1.7e-07
2,Inversely-sorted,Bubble,1,1.06e-07
2,Inversely-sorted,Selection,1,1.31e-07
2,Inversely-sorted,Insertion,1,1.29e-07
2,Random,Heap,1,7.1e-08
2,Random,Bubble,1,1.1e-07
2,Random,Selection,1,8.1e-08
2,Random,Insertion,1,7.2e-08
2,Sorted,Heap,1,7.9e-08
2,Sorted,Bubble,1,1.51e-07
2,Sorted,Selection,1,2.47e-07
2,Sorted,Insertion,1,1.45e-07
2,Inversely-sorted,Heap,1,1.42e-07
2,Inversely-sorted,Bubble,1,1.54e-07
2,Inversely-sorted,Selection,1,1.53e-07
2,Inversely-sorted,Insertion,1,1.81e-07
2,Random,Heap,1,1.56e-07
2,Random,Bubble,1,1e-07
2,Random,Selection,1,1.89e-07
2,Random,Insertion,1,9.6e-08
2,Sorted,Heap,1,1.23e-07
2,Sorted,Bubble,1,9.7e-08
2,Sorted,Selection,1,1.21e-07
2,Sorted,Insertion,1,8.7e-08
2,Inversely-sorted,Heap,1,1.17e-07
2,Inversely-sorted,Bubble,1,1.39e-07
2,Inversely-sorted,Selection,1,1.44e-07
2,Inversely-sorted,Insertion,1,1.31e-07
2,Random,Heap,1,8.6e-08
2,Random,Bubble,1,1.48e-07
2,Random,Selection,1,1.41e-07
2,Random,Insertion,1,1e-07
2,Sorted,Heap,1,1.09e-07
2,Sorted,Bubble,1,1.02e-07
2,Sorted,Selection,1,1.08e-07
2,Sorted,Insertion,1,8.8e-08
2,Inversely-sorted,Heap,1,1.17e-07
2,Inversely-sorted,Bubble,1,1.23e-07
2,Inversely-sorted,Selection,1,1.18e-07
2,Inversely-sorted,Insertion,1,1.49e-07
2,Random,Heap,1,1.23e-07
2,Random,Bubble,1,1.35e-07
2,Random,Selection,1,1.41e-07
2,Random,Insertion,1,9e-08
2,Sorted,Heap,1,1.11e-07
2,Sorted,Bubble,1,8.8e-08
2,Sorted,Selection,1,1.59e-07
2,Sorted,Insertion,1,1.21e-07
2,Inversely-sorted,Heap,1,1.24e-07
2,Inversely-sorted,Bubble,1,1.33e-07
2,Inversely-sorted,Selection,1,1.7e-07
2,Inversely-sorted,Insertion,1,1.39e-07
2,Random,Heap,1,1.37e-07
2,Random,Bubble,1,1.33e-07
2,Random,Selection,1,1.23e-07
2,Random,Insertion,1,1.31e-07
2,Sorted,Heap,1,1.03e-07
2,Sorted,Bubble,1,1.08e-07
2,Sorted,Selection,1,2.98e-07
2,Sorted,Insertion,1,1.26e-07
2,Inversely-sorted,Heap,1,1.35e-07
2,Inversely-sorted,Bubble,1,8.6e-08
2,Inversely-sorted,Selection,1,1.39e-07
2,Inversely-sorted,Insertion,1,1.27e-07
2,Random,Heap,1,9.2e-08
2,Random,Bubble,1,1.02e-07
2,Random,Selection,1,8.1e-08
2,Random,Insertion,1,1.89e-07
2,Sorted,Heap,1,1.56e-07
2,Sorted,Bubble,1,1.42e-07
2,Sorted,Selection,1,1.56e-07
2,Sorted,Insertion,1,8.1e-08
2,Inversely-sorted,Heap,1,1.2e-07
2,Inversely-sorted,Bubble,1,1.1e-07
2,Inversely-sorted,Selection,1,9.7e-08
2,Inversely-sorted,Insertion,1,1.26e-07
2,Random,Heap,1,5.5e-08
2,Random,Bubble,1,7.6e-08
2,Random,Selection,1,2.52e-07
2,Random,Insertion,1,1.31e-07
2,Sorted,Heap,1,1.23e-07
2,Sorted,Bubble,1,9.3e-08
2,Sorted,Selection,1,1.96e-07
2,Sorted,Insertion,1,1.01e-07
2,Inversely-sorted,Heap,1,1.43e-07
